District,Block,Panchyat,Code,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Ankelbira,121591,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Balinga,121592,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Duduka,121593,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Durubaga,121594,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Garjanjore,121595,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Gopalpur,121596,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Hemgir,121597,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Jharpalam,121598,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Julumbahal,121599,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Kanaktura,121609,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Kanika,121600,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Kendudihi,121601,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Kuchedega,121602,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Laikera,121603,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Munderkhei,121604,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Sanghumunda,121605,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Sumura,121606,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Topria,121607,,,,,,,,,,,,,,,,,
Sundargarh,HEMGIRI,Tumulia,121608,,,,,,,,,,,,,,,,,
Sundargarh,KOIDA,Bimalagarh,121610,,,,,,,,,,,,,,,,,
Sundargarh,KOIDA,Chordhara,121611,,,,,,,,,,,,,,,,,
Sundargarh,KOIDA,Dengula,121612,,,,,,,,,,,,,,,,,
Sundargarh,KOIDA,Gopna,121613,,,,,,,,,,,,,,,,,
Sundargarh,KOIDA,Jamudihi,121614,,,,,,,,,,,,,,,,,
Sundargarh,KOIDA,K.Balang,121615,,,,,,,,,,,,,,,,,
Sundargarh,KOIDA,Kalta,121616,,,,,,,,,,,,,,,,,
Sundargarh,KOIDA,Koira,121617,,,,,,,,,,,,,,,,,
Sundargarh,KOIDA,Malda,121618,,,,,,,,,,,,,,,,,
Sundargarh,KOIDA,Patmund,121619,,,,,,,,,,,,,,,,,
Sundargarh,KOIDA,Relhatu,121620,,,,,,,,,,,,,,,,,
Sundargarh,KOIDA,Soyamba,121621,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Andali,121623,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Andhari,121624,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Dalki,121625,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Damarjore,121626,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Hatibari,121714,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Jalangbira,121627,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Jayadega,121622,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Jharbeda,121628,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Jhunmur,121629,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Kacharu,121630,,,,,,,,,,,,,,,,,
Sundargarh,KUARMUNDA,Kadobahal,121631,,,,,,,,,,,,,,,,,
